sample_id,asset_type,label,defect_type,severity,source_image,image_path,mask_path,seed,synthetic
Generated image 1_corrosion_002,Generated image 1,anomaly,corrosion,high,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_002.png,masks/corrosion/Generated image 1_corrosion_002_mask.png,3190906100,True
Generated image 1_corrosion_003,Generated image 1,anomaly,corrosion,low,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_003.png,masks/corrosion/Generated image 1_corrosion_003_mask.png,2463689385,True
Generated image 1_corrosion_004,Generated image 1,anomaly,corrosion,medium,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_004.png,masks/corrosion/Generated image 1_corrosion_004_mask.png,2457013418,True
Generated image 1_corrosion_005,Generated image 1,anomaly,corrosion,high,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_005.png,masks/corrosion/Generated image 1_corrosion_005_mask.png,1136979760,True
Generated image 1_corrosion_006,Generated image 1,anomaly,corrosion,low,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_006.png,masks/corrosion/Generated image 1_corrosion_006_mask.png,4206543345,True
Generated image 1_corrosion_007,Generated image 1,anomaly,corrosion,medium,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_007.png,masks/corrosion/Generated image 1_corrosion_007_mask.png,2554437986,True
Generated image 1_corrosion_008,Generated image 1,anomaly,corrosion,high,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_008.png,masks/corrosion/Generated image 1_corrosion_008_mask.png,279256662,True
Generated image 1_corrosion_009,Generated image 1,anomaly,corrosion,low,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_009.png,masks/corrosion/Generated image 1_corrosion_009_mask.png,1221453767,True
Generated image 1_corrosion_010,Generated image 1,anomaly,corrosion,medium,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_010.png,masks/corrosion/Generated image 1_corrosion_010_mask.png,164939695,True
Generated image 1_corrosion_011,Generated image 1,anomaly,corrosion,high,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_011.png,masks/corrosion/Generated image 1_corrosion_011_mask.png,678943601,True
Generated image 1_corrosion_012,Generated image 1,anomaly,corrosion,low,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_012.png,masks/corrosion/Generated image 1_corrosion_012_mask.png,1592404250,True
Generated image 1_corrosion_013,Generated image 1,anomaly,corrosion,medium,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_013.png,masks/corrosion/Generated image 1_corrosion_013_mask.png,2249302822,True
Generated image 1_corrosion_014,Generated image 1,anomaly,corrosion,high,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_014.png,masks/corrosion/Generated image 1_corrosion_014_mask.png,4045123105,True
Generated image 1_corrosion_015,Generated image 1,anomaly,corrosion,low,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_015.png,masks/corrosion/Generated image 1_corrosion_015_mask.png,542755596,True
Generated image 1_corrosion_016,Generated image 1,anomaly,corrosion,medium,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_016.png,masks/corrosion/Generated image 1_corrosion_016_mask.png,125988397,True
Generated image 1_corrosion_017,Generated image 1,anomaly,corrosion,high,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_017.png,masks/corrosion/Generated image 1_corrosion_017_mask.png,912380406,True
Generated image 1_corrosion_018,Generated image 1,anomaly,corrosion,low,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_018.png,masks/corrosion/Generated image 1_corrosion_018_mask.png,2081655055,True
Generated image 1_corrosion_019,Generated image 1,anomaly,corrosion,medium,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_019.png,masks/corrosion/Generated image 1_corrosion_019_mask.png,3598000768,True
Generated image 1_wear_000,Generated image 1,anomaly,wear,low,Generated image 1.png,anomaly/wear/Generated image 1_wear_000.png,masks/wear/Generated image 1_wear_000_mask.png,3507779212,True
Generated image 1_wear_001,Generated image 1,anomaly,wear,medium,Generated image 1.png,anomaly/wear/Generated image 1_wear_001.png,masks/wear/Generated image 1_wear_001_mask.png,2064595564,True
Generated image 1_wear_002,Generated image 1,anomaly,wear,high,Generated image 1.png,anomaly/wear/Generated image 1_wear_002.png,masks/wear/Generated image 1_wear_002_mask.png,1956705475,True
Generated image 1_wear_003,Generated image 1,anomaly,wear,low,Generated image 1.png,anomaly/wear/Generated image 1_wear_003.png,masks/wear/Generated image 1_wear_003_mask.png,4233829607,True
Generated image 1_wear_004,Generated image 1,anomaly,wear,medium,Generated image 1.png,anomaly/wear/Generated image 1_wear_004.png,masks/wear/Generated image 1_wear_004_mask.png,4088544580,True
Generated image 1_wear_005,Generated image 1,anomaly,wear,high,Generated image 1.png,anomaly/wear/Generated image 1_wear_005.png,masks/wear/Generated image 1_wear_005_mask.png,166846208,True
Generated image 1_wear_006,Generated image 1,anomaly,wear,low,Generated image 1.png,anomaly/wear/Generated image 1_wear_006.png,masks/wear/Generated image 1_wear_006_mask.png,2591119500,True
Generated image 1_wear_007,Generated image 1,anomaly,wear,medium,Generated image 1.png,anomaly/wear/Generated image 1_wear_007.png,masks/wear/Generated image 1_wear_007_mask.png,2153314342,True
Generated image 1_wear_008,Generated image 1,anomaly,wear,high,Generated image 1.png,anomaly/wear/Generated image 1_wear_008.png,masks/wear/Generated image 1_wear_008_mask.png,2722225720,True
Generated image 1_wear_009,Generated image 1,anomaly,wear,low,Generated image 1.png,anomaly/wear/Generated image 1_wear_009.png,masks/wear/Generated image 1_wear_009_mask.png,1864463691,True
Generated image 1_wear_010,Generated image 1,anomaly,wear,medium,Generated image 1.png,anomaly/wear/Generated image 1_wear_010.png,masks/wear/Generated image 1_wear_010_mask.png,2768990886,True
Generated image 1_wear_011,Generated image 1,anomaly,wear,high,Generated image 1.png,anomaly/wear/Generated image 1_wear_011.png,masks/wear/Generated image 1_wear_011_mask.png,462200136,True
Generated image 1_wear_012,Generated image 1,anomaly,wear,low,Generated image 1.png,anomaly/wear/Generated image 1_wear_012.png,masks/wear/Generated image 1_wear_012_mask.png,1775117157,True
Generated image 1_wear_013,Generated image 1,anomaly,wear,medium,Generated image 1.png,anomaly/wear/Generated image 1_wear_013.png,masks/wear/Generated image 1_wear_013_mask.png,1076538896,True
Generated image 1_wear_014,Generated image 1,anomaly,wear,high,Generated image 1.png,anomaly/wear/Generated image 1_wear_014.png,masks/wear/Generated image 1_wear_014_mask.png,3927170278,True
Generated image 1_wear_015,Generated image 1,anomaly,wear,low,Generated image 1.png,anomaly/wear/Generated image 1_wear_015.png,masks/wear/Generated image 1_wear_015_mask.png,2470017802,True
Generated image 1_wear_016,Generated image 1,anomaly,wear,medium,Generated image 1.png,anomaly/wear/Generated image 1_wear_016.png,masks/wear/Generated image 1_wear_016_mask.png,4096888845,True
Generated image 1_wear_017,Generated image 1,anomaly,wear,high,Generated image 1.png,anomaly/wear/Generated image 1_wear_017.png,masks/wear/Generated image 1_wear_017_mask.png,2281595618,True
Generated image 1_wear_018,Generated image 1,anomaly,wear,low,Generated image 1.png,anomaly/wear/Generated image 1_wear_018.png,masks/wear/Generated image 1_wear_018_mask.png,3181257208,True
Generated image 1_wear_019,Generated image 1,anomaly,wear,medium,Generated image 1.png,anomaly/wear/Generated image 1_wear_019.png,masks/wear/Generated image 1_wear_019_mask.png,2678363182,True
Generated image 1_overheating_000,Generated image 1,anomaly,overheating,low,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_000.png,masks/overheating/Generated image 1_overheating_000_mask.png,2628408149,True
Generated image 1_overheating_001,Generated image 1,anomaly,overheating,medium,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_001.png,masks/overheating/Generated image 1_overheating_001_mask.png,377607082,True
Generated image 1_overheating_002,Generated image 1,anomaly,overheating,high,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_002.png,masks/overheating/Generated image 1_overheating_002_mask.png,137354278,True
Generated image 1_overheating_003,Generated image 1,anomaly,overheating,low,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_003.png,masks/overheating/Generated image 1_overheating_003_mask.png,2191924943,True
Generated image 1_overheating_004,Generated image 1,anomaly,overheating,medium,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_004.png,masks/overheating/Generated image 1_overheating_004_mask.png,3241769586,True
Generated image 1_overheating_005,Generated image 1,anomaly,overheating,high,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_005.png,masks/overheating/Generated image 1_overheating_005_mask.png,481513154,True
Generated image 1_overheating_006,Generated image 1,anomaly,overheating,low,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_006.png,masks/overheating/Generated image 1_overheating_006_mask.png,1079212888,True
Generated image 1_overheating_007,Generated image 1,anomaly,overheating,medium,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_007.png,masks/overheating/Generated image 1_overheating_007_mask.png,4245519339,True
Generated image 1_overheating_008,Generated image 1,anomaly,overheating,high,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_008.png,masks/overheating/Generated image 1_overheating_008_mask.png,572176786,True
Generated image 1_overheating_009,Generated image 1,anomaly,overheating,low,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_009.png,masks/overheating/Generated image 1_overheating_009_mask.png,4069420975,True
Generated image 1_overheating_010,Generated image 1,anomaly,overheating,medium,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_010.png,masks/overheating/Generated image 1_overheating_010_mask.png,1971023602,True
Generated image 1_overheating_011,Generated image 1,anomaly,overheating,high,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_011.png,masks/overheating/Generated image 1_overheating_011_mask.png,3270493706,True
Generated image 1_overheating_012,Generated image 1,anomaly,overheating,low,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_012.png,masks/overheating/Generated image 1_overheating_012_mask.png,1513675533,True
Generated image 1_overheating_013,Generated image 1,anomaly,overheating,medium,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_013.png,masks/overheating/Generated image 1_overheating_013_mask.png,1543105822,True
Generated image 1_overheating_014,Generated image 1,anomaly,overheating,high,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_014.png,masks/overheating/Generated image 1_overheating_014_mask.png,2840087012,True
Generated image 1_overheating_015,Generated image 1,anomaly,overheating,low,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_015.png,masks/overheating/Generated image 1_overheating_015_mask.png,2098277313,True
Generated image 1_overheating_016,Generated image 1,anomaly,overheating,medium,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_016.png,masks/overheating/Generated image 1_overheating_016_mask.png,1499499137,True
Generated image 1_overheating_017,Generated image 1,anomaly,overheating,high,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_017.png,masks/overheating/Generated image 1_overheating_017_mask.png,3412302221,True
Generated image 1_overheating_018,Generated image 1,anomaly,overheating,low,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_018.png,masks/overheating/Generated image 1_overheating_018_mask.png,4069096191,True
Generated image 1_overheating_019,Generated image 1,anomaly,overheating,medium,Generated image 1.png,anomaly/overheating/Generated image 1_overheating_019.png,masks/overheating/Generated image 1_overheating_019_mask.png,626907011,True
Generated image 2_normal,Generated image 2,normal,none,none,Generated image 2.png,normal/Generated image 2_normal.png,,42,True
Generated image 2_crack_000,Generated image 2,anomaly,crack,low,Generated image 2.png,anomaly/crack/Generated image 2_crack_000.png,masks/crack/Generated image 2_crack_000_mask.png,833402601,True
Generated image 2_crack_001,Generated image 2,anomaly,crack,medium,Generated image 2.png,anomaly/crack/Generated image 2_crack_001.png,masks/crack/Generated image 2_crack_001_mask.png,3668554886,True
Generated image 2_crack_002,Generated image 2,anomaly,crack,high,Generated image 2.png,anomaly/crack/Generated image 2_crack_002.png,masks/crack/Generated image 2_crack_002_mask.png,3208586947,True
Generated image 2_crack_003,Generated image 2,anomaly,crack,low,Generated image 2.png,anomaly/crack/Generated image 2_crack_003.png,masks/crack/Generated image 2_crack_003_mask.png,3124114370,True
Generated image 2_crack_004,Generated image 2,anomaly,crack,medium,Generated image 2.png,anomaly/crack/Generated image 2_crack_004.png,masks/crack/Generated image 2_crack_004_mask.png,3921206592,True
Generated image 2_crack_005,Generated image 2,anomaly,crack,high,Generated image 2.png,anomaly/crack/Generated image 2_crack_005.png,masks/crack/Generated image 2_crack_005_mask.png,1365281658,True
Generated image 2_crack_006,Generated image 2,anomaly,crack,low,Generated image 2.png,anomaly/crack/Generated image 2_crack_006.png,masks/crack/Generated image 2_crack_006_mask.png,2498910098,True
Generated image 2_crack_007,Generated image 2,anomaly,crack,medium,Generated image 2.png,anomaly/crack/Generated image 2_crack_007.png,masks/crack/Generated image 2_crack_007_mask.png,72396031,True
Generated image 2_crack_008,Generated image 2,anomaly,crack,high,Generated image 2.png,anomaly/crack/Generated image 2_crack_008.png,masks/crack/Generated image 2_crack_008_mask.png,1963546324,True
Generated image 2_crack_009,Generated image 2,anomaly,crack,low,Generated image 2.png,anomaly/crack/Generated image 2_crack_009.png,masks/crack/Generated image 2_crack_009_mask.png,2606057862,True
Generated image 2_crack_010,Generated image 2,anomaly,crack,medium,Generated image 2.png,anomaly/crack/Generated image 2_crack_010.png,masks/crack/Generated image 2_crack_010_mask.png,784570106,True
Generated image 2_crack_011,Generated image 2,anomaly,crack,high,Generated image 2.png,anomaly/crack/Generated image 2_crack_011.png,masks/crack/Generated image 2_crack_011_mask.png,1813131422,True
Generated image 2_crack_012,Generated image 2,anomaly,crack,low,Generated image 2.png,anomaly/crack/Generated image 2_crack_012.png,masks/crack/Generated image 2_crack_012_mask.png,4061619779,True
Generated image 2_crack_013,Generated image 2,anomaly,crack,medium,Generated image 2.png,anomaly/crack/Generated image 2_crack_013.png,masks/crack/Generated image 2_crack_013_mask.png,289031512,True
Generated image 2_crack_014,Generated image 2,anomaly,crack,high,Generated image 2.png,anomaly/crack/Generated image 2_crack_014.png,masks/crack/Generated image 2_crack_014_mask.png,765201557,True
Generated image 2_crack_015,Generated image 2,anomaly,crack,low,Generated image 2.png,anomaly/crack/Generated image 2_crack_015.png,masks/crack/Generated image 2_crack_015_mask.png,462616852,True
Generated image 2_crack_016,Generated image 2,anomaly,crack,medium,Generated image 2.png,anomaly/crack/Generated image 2_crack_016.png,masks/crack/Generated image 2_crack_016_mask.png,664725209,True
Generated image 2_crack_017,Generated image 2,anomaly,crack,high,Generated image 2.png,anomaly/crack/Generated image 2_crack_017.png,masks/crack/Generated image 2_crack_017_mask.png,684450362,True
Generated image 2_crack_018,Generated image 2,anomaly,crack,low,Generated image 2.png,anomaly/crack/Generated image 2_crack_018.png,masks/crack/Generated image 2_crack_018_mask.png,2178892077,True
Generated image 2_crack_019,Generated image 2,anomaly,crack,medium,Generated image 2.png,anomaly/crack/Generated image 2_crack_019.png,masks/crack/Generated image 2_crack_019_mask.png,2997322887,True
Generated image 2_oil_leak_000,Generated image 2,anomaly,oil_leak,low,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_000.png,masks/oil_leak/Generated image 2_oil_leak_000_mask.png,2087512374,True
Generated image 2_oil_leak_001,Generated image 2,anomaly,oil_leak,medium,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_001.png,masks/oil_leak/Generated image 2_oil_leak_001_mask.png,3554718594,True
Generated image 2_oil_leak_002,Generated image 2,anomaly,oil_leak,high,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_002.png,masks/oil_leak/Generated image 2_oil_leak_002_mask.png,3121504296,True
Generated image 2_oil_leak_003,Generated image 2,anomaly,oil_leak,low,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_003.png,masks/oil_leak/Generated image 2_oil_leak_003_mask.png,4208165386,True
Generated image 2_oil_leak_004,Generated image 2,anomaly,oil_leak,medium,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_004.png,masks/oil_leak/Generated image 2_oil_leak_004_mask.png,3007040981,True
Generated image 2_oil_leak_005,Generated image 2,anomaly,oil_leak,high,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_005.png,masks/oil_leak/Generated image 2_oil_leak_005_mask.png,3363449801,True
Generated image 2_oil_leak_006,Generated image 2,anomaly,oil_leak,low,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_006.png,masks/oil_leak/Generated image 2_oil_leak_006_mask.png,2186516710,True
Generated image 2_oil_leak_007,Generated image 2,anomaly,oil_leak,medium,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_007.png,masks/oil_leak/Generated image 2_oil_leak_007_mask.png,596308305,True
Generated image 2_oil_leak_008,Generated image 2,anomaly,oil_leak,high,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_008.png,masks/oil_leak/Generated image 2_oil_leak_008_mask.png,1373680213,True
Generated image 2_oil_leak_009,Generated image 2,anomaly,oil_leak,low,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_009.png,masks/oil_leak/Generated image 2_oil_leak_009_mask.png,2355846949,True
Generated image 2_oil_leak_010,Generated image 2,anomaly,oil_leak,medium,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_010.png,masks/oil_leak/Generated image 2_oil_leak_010_mask.png,2936889318,True
Generated image 2_oil_leak_011,Generated image 2,anomaly,oil_leak,high,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_011.png,masks/oil_leak/Generated image 2_oil_leak_011_mask.png,204849453,True
Generated image 2_oil_leak_012,Generated image 2,anomaly,oil_leak,low,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_012.png,masks/oil_leak/Generated image 2_oil_leak_012_mask.png,2934142536,True
Generated image 2_oil_leak_013,Generated image 2,anomaly,oil_leak,medium,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_013.png,masks/oil_leak/Generated image 2_oil_leak_013_mask.png,4005143864,True
Generated image 2_oil_leak_014,Generated image 2,anomaly,oil_leak,high,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_014.png,masks/oil_leak/Generated image 2_oil_leak_014_mask.png,3801611141,True
Generated image 2_oil_leak_015,Generated image 2,anomaly,oil_leak,low,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_015.png,masks/oil_leak/Generated image 2_oil_leak_015_mask.png,342418858,True
Generated image 2_oil_leak_016,Generated image 2,anomaly,oil_leak,medium,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_016.png,masks/oil_leak/Generated image 2_oil_leak_016_mask.png,4158022167,True
Generated image 2_oil_leak_017,Generated image 2,anomaly,oil_leak,high,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_017.png,masks/oil_leak/Generated image 2_oil_leak_017_mask.png,3046482324,True
Generated image 2_oil_leak_018,Generated image 2,anomaly,oil_leak,low,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_018.png,masks/oil_leak/Generated image 2_oil_leak_018_mask.png,4177883101,True
Generated image 2_oil_leak_019,Generated image 2,anomaly,oil_leak,medium,Generated image 2.png,anomaly/oil_leak/Generated image 2_oil_leak_019.png,masks/oil_leak/Generated image 2_oil_leak_019_mask.png,1147383874,True
Generated image 2_corrosion_000,Generated image 2,anomaly,corrosion,low,Generated image 2.png,anomaly/corrosion/Generated image 2_corrosion_000.png,masks/corrosion/Generated image 2_corrosion_000_mask.png,1962525626,True
